Pixel,R,G,B
0,91,158,35
1,107,167,53
2,167,209,89
3,101,157,52
4,89,154,27
5,80,145,33
6,63,120,27
7,71,138,31
8,81,142,38
9,81,143,33
10,69,133,26
11,75,137,29
12,74,135,33
13,83,143,31
14,86,147,34
15,84,151,36
16,60,127,26
17,56,111,27
18,65,126,31
19,77,141,34
20,73,138,32
21,73,145,26
22,65,129,30
23,59,120,26
24,75,142,29
25,64,130,25
26,59,125,25
27,70,133,25
28,62,123,26
29,67,136,22
30,65,128,26
31,74,137,27
32,65,131,21
33,56,112,25
34,65,124,25
35,58,117,24
36,56,120,19
37,66,130,18
38,55,117,23
39,46,98,19
40,100,160,47
41,154,201,87
42,134,182,71
43,94,157,35
44,80,145,33
45,70,135,29
46,56,126,24
47,70,134,28
48,69,133,33
49,83,149,32
50,89,156,33
51,74,142,29
52,81,141,35
53,77,135,36
54,85,144,37
55,84,147,38
56,64,124,33
57,60,117,28
58,70,134,31
59,67,130,31
60,78,139,32
61,73,139,25
62,64,125,29
63,69,133,28
64,76,135,34
65,71,141,26
66,65,127,28
67,83,145,35
68,68,126,31
69,75,138,29
70,72,131,29
71,70,138,22
72,58,119,25
73,65,123,23
74,69,126,27
75,60,123,25
76,58,118,22
77,52,117,20
78,51,113,18
79,51,114,18
80,135,184,85
81,167,208,99
82,98,163,41
83,87,148,39
84,87,151,36
85,85,150,34
86,90,149,39
87,64,125,30
88,84,148,37
89,82,146,35
90,80,143,33
91,89,149,36
92,72,137,29
93,80,146,37
94,73,134,36
95,68,132,31
96,69,133,30
97,67,129,32
98,69,131,34
99,68,127,32
100,75,138,33
101,58,125,28
102,69,123,37
103,76,143,30
104,65,128,28
105,76,140,32
106,76,143,30
107,76,137,38
108,76,140,26
109,72,140,25
110,64,129,25
111,70,135,28
112,55,120,22
113,79,132,41
114,68,122,36
115,57,121,22
116,51,114,22
117,60,124,20
118,48,114,18
119,53,117,20
120,169,209,101
121,145,196,73
122,74,142,30
123,68,136,29
124,99,159,45
125,75,138,30
126,95,159,38
127,77,141,37
128,83,151,35
129,92,154,37
130,80,142,38
131,74,134,33
132,94,146,54
133,95,158,39
134,87,148,43
135,83,145,46
136,70,135,33
137,63,123,32
138,78,142,38
139,66,132,31
140,75,139,35
